Salt-Verde-Tonto waterways, AZ
Lower Colorado River Basin
Water Year (Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = gaged USGS flow record
Lower_95 = lower 95% confidence interval for Recon
Upper_95 = upper 95% confidence interval for Recon
Recon Interval: 1330-2005
Observed Interval: 1914-2005
PI: D. Meko and K. Hirshboeck
URL: http://fp.arizona.edu/kkh/srp2.htm

==========
Year    Recon  Observed  Lower_95  Upper_95
1820    529185     -9999    182687    919121
1821   2105395     -9999   1101800   4020518
1822    415984     -9999     70433    804854
1823    742678     -9999    397126   1131548
1824   1279626     -9999    402132   2650054
1825   1640947     -9999    637352   3556070
1826   1446285     -9999    442690   2812968
1827    757437     -9999    411886   1146308
1828   2993820     -9999   1987475   4914190
1829    503850     -9999    158299    892721
1830   1483990     -9999    608893   2850673
1831   1291699     -9999    416602   3206821
1832    990094     -9999    628734   1786116
1833   2861939     -9999   1858344   4777062
1834    968959     -9999    608586   1762806
1835   1723615     -9999    720020   3638738
1836    970536     -9999    609176   1766559
1837   2532427     -9999   1528832   4447550
1838   2695460     -9999   1691865   4610582
1839   2848698     -9999   1845102   4763820
1840   1767603     -9999    761259   3687973
1841    689037     -9999    343486   1077908
1842    507846     -9999    162295    896716
1843    880429     -9999    520057   1316814
1844   2399459     -9999   1393114   4319829
1845    506857     -9999    161306    895727
1846   1878718     -9999    875122   3793840
1847    360429     -9999     14878    749300
1848   2373777     -9999   1367432   4294146
1849   4299047     -9999   3295452   6214170
1850   1835664     -9999    832069   3750787
1851    441837     -9999     96286    830707
1852   2317055     -9999   1310710   4237424
1853   1075996     -9999    715623   1869843
1854    767269     -9999    421718   1156140
1855   1508208     -9999    504613   2874892
1856   1701495     -9999    695150   3621865
1857    531784     -9999    186233    920655
1858   1403848     -9999    528752   2770532
1859    618221     -9999    272670   1007091
1860    768349     -9999    421852   1158285
1861    420920     -9999     75369    809790
1862   3516889     -9999   2513294   5432012
1863    776800     -9999    431249   1165670
1864    534258     -9999    187760    924194
1865   1971905     -9999    968310   3887028
1866   2906150     -9999   1902554   4821272
1867   1912641     -9999    909045   3827763
1868   2574758     -9999   1568413   4495127
1869   1495903     -9999    620807   3411026
1870    543961     -9999    198410    932831
1871    498563     -9999    153012    887433
1872    580382     -9999    233884    970318
1873    676744     -9999    331193   1065614
1874   1812566     -9999    808971   3727689
1875    883671     -9999    523298   1320055
1876    726525     -9999    380027   1116461
1877   1565741     -9999    562146   3480864
1878   1164648     -9999    804276   1958495
1879    609144     -9999    263593    998015
1880    588120     -9999    241622    978056
1881    614138     -9999    268587   1003008
1882    907458     -9999    547085   1522574
1883    865644     -9999    505271   1302028
1884   1979523     -9999    973178   3899892
1885   1576646     -9999    573051   3491769
1886    863966     -9999    503593   1300350
1887    523192     -9999    177641    912063
1888   1811603     -9999    805258   3731972
1889   1440765     -9999    565669   2807449
1890   1788275     -9999    784679   3703397
1891   1463277     -9999    459682   3104180
1892   1198624     -9999    837264   1994646
1893    499332     -9999    153781    888202
1894    502335     -9999    156784    891206
1895   1485997     -9999    610900   2852680
1896    471546     -9999    125048    861482
1897   2009497     -9999   1005902   3924620
1898   1161815     -9999    801442   1955662
1899    390049     -9999     44498    778920
1900    598527     -9999    252975    987397
1901    927037     -9999    566664   1720884
1902    444810     -9999     99259    833681
1903   1591928     -9999    588332   3507050
1904    426411     -9999     79913    816346
1905   2864874     -9999   1861279   4779997
1906   1679910     -9999    676315   3595033
1907   2199836     -9999   1196240   4114958
1908   1338325     -9999    460830   2708752
1909   1186763     -9999    826390   1980610
1910   1095975     -9999    735602   1889822
1911   1605085     -9999    601489   3520207
1912   1794679     -9999    788334   3715048
1913   1037971     -9999    677598   1831818
1914   1983313    925820    979718   3898436
1915   2619952   2653159   1616357   4535075
1916   1993274   3859851    986929   3913643
1917   1454122   1709628    450527   3369245
1918    565590    895134    220039    954461
1919   2118736   1533211   1115140   4033858
1920   2959576   3156201   1953231   4879946
1921    619098    855766    273547   1007969
1922   1496302   1471602    556956   3411425
1923   1024762   1149725    664389   1818609
1924   1340867   1451820    463373   2711295
1925    614444    591309    268893   1003314
1926   1810802   1299721    807207   3725925
1927   1347784   1777366    472688   2714468
1928    822544    630940    476046   1212479
1929    752875    862014    407324   1141746
1930    873505    795937    513132   1309889
1931   1052252   1042416    691879   1846099
1932   2308787   2229529   1302442   4229156
1933    860621    693211    500248   1297005
1934    582304    419971    236752    971174
1935   1660714   1347353    657118   3575836
1936    607004    978588    260506    996940
1937   1954419   1871780    950823   3869541
1938   1108836    834730    748463   1902683
1939    648389    631874    302838   1037259
1940    718894    548483    372396   1108829
1941   3188740   3417802   2185145   5103863
1942   1377641    903163    502545   3292764
1943    670774    877851    325222   1059644
1944   1058693    846142    697333   1854715
1945    873260    923022    512887   1309644
1946    494813    554008    149261    883683
1947    728268    527921    382717   1117138
1948   1659561    729032    653217   3579931
1949   1777951   1325997    774355   3693073
1950    545433    459749    199882    934303
1951    400176    488980     54625    789047
1952   2520200   2033762   1513855   4440569
1953    581920    491283    236369    970790
1954    583093    680880    237541    971963
1955    630904    493138    285353   1019775
1956    528641    358108    182143    918577
1957   1432495    806214    493149   3073398
1958   1030366   1286533    669993   1824213
1959    454743    450983    109192    843614
1960   1473860   1462510    467515   3394229
1961    715278    353021    369726   1104148
1962    988462   1106003    628089   1782309
1963    665549    617837    319998   1054420
1964    636311    544863    289814   1026247
1965   2299082   1474230   1295487   4214205
1966   1118922   1910493    758549   1912769
1967    598005    646286    252454    986876
1968   1150268   1578913    788908   1946290
1969   1234013   1068560    358916   2600696
1970    826623    636160    481072   1215493
1971    477687    388583    132135    866557
1972   1058853    696750    697492   1854875
1973   2177273   3491257   1173677   4092395
1974    685877    396367    340326   1074748
1975   1810372    940836    806777   3725495
1976    775585    811395    429087   1165521
1977    447244    370838    101693    836115
1978   2359282   2383100   1355687   4274405
1979   2683963   3319132   1680368   4599086
1980   1622862   2939456    616517   3543232
1981    770568    536434    425017   1159438
1982   1753391   1348572    749795   3668513
1983   2601411   2605893   1624925   4237179
1984   1010596   1246590    572918   1583273
1985   2606806   2166260   1630319   4242573
1986   2040536   1049497   1064049   4459523
1987   1433133   1155758    457261   3852120
1988   2116915   1233467   1137753   3757164
1989    619678    474678    194646   1119532
1990    485195    407205     96720    878649
1991   1650994   1711764    708754   3473743
1992   2571711   1654624   1676880   4399454
1993   1406697   4357945    514311   3229446
1994    710828    689397    254121   1104281
1995   1666000   2018698    723760   4606525
1996    266114    346301         0    618610
1997   1515788    680827    623401   4456313
1998   1527229   1335445    609916   3908866
1999    821665    488247    364958   1215118
2000    384468    292325     51450    736964
2001   1611479    773180    719093   3434227
2002    247869    280248         0    599402
2003   1176828    775752    615361   2706907
2004    615657    446629    209442    989171
2005   2203969     -9999   1311583   4026717
